dataset,model,drift_type,intensity,xai_method,clean_acc,drifted_acc,SSIM,IoU,MSE,Pearson,Cosine,IoU@0.3,IoU@0.5,IoU@0.7,SSIM_ci_low,SSIM_ci_high,SSIM_wilcoxon_p,SSIM_paired_t_p,SSIM_cohens_d,IoU_ci_low,IoU_ci_high,IoU_wilcoxon_p,IoU_cohens_d,n_images,KS_p,AD_p,Welch_p,Wilcoxon_p
cifar10,densenet121,noise,0.0,gradcam,0.859375,0.859375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,640,1.0,0.25,1.0,1.0
cifar10,densenet121,noise,0.0,gradcampp,0.859375,0.859375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,640,1.0,0.25,1.0,1.0
cifar10,densenet121,noise,0.0,gradcam_vs_gradcampp,0.859375,0.859375,0.0,,,,,,,,,,1.0,,0.0,,,,,640,,,,
cifar10,densenet121,noise,1e-06,gradcam,0.859375,0.859375,0.9998471342038208,0.9985494927518805,5.250042021074177e-06,0.9999843276499633,0.9999928782485596,0.9988758175933317,0.9985494927518805,0.9989127528675745,0.999735508728676,0.9999322710794083,7.990256867566729e-47,0.002332748622409017,0.12081901521055995,0.9977445873758517,0.9991262760498432,5.569057606246827e-17,0.16054102243458648,640,0.9939890112863633,0.25,0.918057512889089,0.915606642789446
cifar10,densenet121,noise,1e-06,gradcampp,0.859375,0.859375,0.9998530883315164,0.9987592965203111,6.636244578662442e-06,0.9999824651736832,0.9999919689962071,0.9993028913419313,0.9987592965203111,0.9987684957633813,0.9996433097994081,0.999975675124535,1.3507136166376421e-42,0.09379239622446076,0.0663376143916304,0.9976766847203049,0.9994596899992046,7.574425206044519e-12,0.10685686606551215,640,0.9931553173855269,0.25,0.9028546290522986,0.9222778956555201
cifar10,densenet121,noise,1e-06,gradcam_vs_gradcampp,0.859375,0.859375,5.954127695662059e-06,,,,,,,,,,0.00021526407831646088,,0.002514188786189437,,,,,640,,,,
cifar10,densenet121,noise,1e-05,gradcam,0.859375,0.859375,0.9998860592822979,0.9988166604412779,3.937596619941691e-06,0.9999887049740472,0.9999945532706906,0.9987479436749686,0.9988166604412779,0.998595466977674,0.9997900181077146,0.9999570522126714,8.704842186147042e-57,0.008631136250306213,0.10413646900236796,0.9984790555883414,0.9991323791183457,8.5292481185700915e-19,0.2761667634130352,640,0.9876433667779153,0.25,0.9493668063731591,0.9540068266991839
cifar10,densenet121,noise,1e-05,gradcampp,0.859375,0.859375,0.9999656414373408,0.999286104998065,1.3680609603662976e-06,0.9999965395130023,0.9999986512629178,0.9996093040124514,0.999286104998065,0.9992253947453633,0.9999395293115015,0.999984744176418,3.009169177276703e-40,0.002813879195147414,0.1185463575906221,0.9990184748899796,0.9995210046550295,2.4038192760333652e-12,0.22440384812883546,640,0.9999984499975734,0.25,0.976322346321991,0.9847960816808143
cifar10,densenet121,noise,1e-05,gradcam_vs_gradcampp,0.859375,0.859375,7.95821550428899e-05,,,,,,,,,,3.2841628076246147e-09,,0.07265296619542988,,,,,640,,,,
cifar10,densenet121,noise,0.0001,gradcam,0.859375,0.859375,0.9998246617509142,0.9974680194381296,1.0093048891066412e-05,0.9999678152594587,0.9999881080710292,0.9985781213156656,0.9974680194381296,0.9960869602100164,0.9997195264865085,0.9999079546702031,3.1043870738757203e-86,0.00016080121821751905,0.15006548006367296,0.9964063424247853,0.998312096318929,1.4764859432371776e-24,0.20550426168939034,640,0.9667232593660338,0.25,0.8368200662697449,0.8523303415540571
cifar10,densenet121,noise,0.0001,gradcampp,0.859375,0.859375,0.999901453493929,0.998702755648808,4.0637598762157246e-06,0.9999856750518823,0.9999943450852719,0.998745500466027,0.998702755648808,0.9985061172943676,0.999830489056185,0.9999537174583387,5.058180435874655e-68,0.0036001707820010075,0.11550424766890154,0.9981851292091332,0.9991297377669649,8.526134965149004e-19,0.21471570698521486,640,0.9998885426682266,0.25,0.999833811698682,0.9763601891217198
cifar10,densenet121,noise,0.0001,gradcam_vs_gradcampp,0.859375,0.859375,7.679174301478131e-05,,,,,,,,,,5.060753251476167e-10,,0.05471575672087251,,,,,640,,,,
cifar10,densenet121,noise,0.001,gradcam,0.859375,0.859375,0.9964084916655036,0.9907871150238939,0.0005778825345551348,0.9972502128150678,0.9989579705972172,0.9930684868400185,0.9907871150238939,0.988410868568776,0.9920165578761588,0.9987311369303468,3.469714360402074e-105,0.064126408662378,0.07330603037990573,0.9867869150027688,0.9934410401553274,5.652840382693226e-58,0.2170619030751076,640,0.1784145423978497,0.25,0.8786391869641091,0.8955442778944902
