dataset,model,drift_type,intensity,xai_method,clean_acc,drifted_acc,SSIM,IoU,MSE,Pearson,Cosine,IoU@0.3,IoU@0.5,IoU@0.7,SSIM_ci_low,SSIM_ci_high,SSIM_wilcoxon_p,SSIM_paired_t_p,SSIM_cohens_d,IoU_ci_low,IoU_ci_high,IoU_wilcoxon_p,IoU_cohens_d,n_images,KS_p,AD_p,Welch_p,Wilcoxon_p
cifar10,resnet18,noise,0.0,gradcam,0.840625,0.840625,1.0,0.996875,0.0,0.996875,0.996875,0.996875,0.996875,0.996875,1.0,1.0,1.0,1.0,0.0,0.9921875,1.0,0.15729920705028502,0.05594549239324164,640,1.0,0.25,1.0,1.0
cifar10,resnet18,noise,0.0,gradcampp,0.840625,0.840625,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,640,1.0,0.25,1.0,1.0
cifar10,resnet18,noise,0.0,gradcam_vs_gradcampp,0.840625,0.840625,0.0,,,,,,,,,,1.0,,0.0,,,,,640,,,,
cifar10,resnet18,noise,1e-06,gradcam,0.840625,0.840625,0.9995254857853446,0.9957775792364352,1.3698981088911765e-05,0.9968318714881341,0.9968546207713895,0.9959667002033628,0.9957775792364352,0.9959277501700183,0.9989142540951683,0.9999110383622607,7.071380224193168e-20,0.07074433919954522,0.07155190582323077,0.9907933594606251,0.9992817611907567,1.1397432479304981e-07,0.07417078324270242,640,0.9348383789201151,0.25,0.7786994603061932,0.7422689228030767
cifar10,resnet18,noise,1e-06,gradcampp,0.840625,0.840625,0.9996974639201912,0.9986079596159854,4.5518157966471115e-05,0.9998433781123228,0.9999466267410394,0.9994422870663326,0.9986079596159854,0.9988879628852025,0.9991777508728621,0.9999789279858932,1.706808371575796e-06,0.19318224817912713,0.051489596404527806,0.9967296196646482,0.9997231603270417,5.385990057983034e-07,0.06648365293620132,640,0.9941461346345205,0.25,0.7547430065917948,0.7610115120069382
cifar10,resnet18,noise,1e-06,gradcam_vs_gradcampp,0.840625,0.840625,0.0001719781348465954,,,,,,,,,,1.332854889010047e-05,,0.02491218515344021,,,,,640,,,,
cifar10,resnet18,noise,1e-05,gradcam,0.840625,0.840625,0.9997861661127156,0.9959406027866761,1.4118929856575214e-05,0.9968300528257134,0.9968548600267588,0.9957854088605137,0.9959406027866761,0.9957881370797075,0.9995504978220576,0.9999526834172147,2.5310746331706878e-21,0.04588796009020907,0.07906975252173304,0.9909667818753378,0.9994239977187378,1.6468799027036477e-08,0.0716106110921392,640,0.9035652508782066,0.25,0.8463991434864502,0.8334355457772671
cifar10,resnet18,noise,1e-05,gradcampp,0.840625,0.840625,0.9997183692744883,0.9984731674025102,4.539552776848659e-05,0.999843090271126,0.9999472064924723,0.9990907948149517,0.9984731674025102,0.9986461763484774,0.999226757681735,0.9999837493526437,1.296642689376816e-14,0.22172011170921832,0.048349648961339954,0.9965264251369644,0.999671802478123,1.680295787277147e-07,0.07154447752059415,640,0.995918624180979,0.25,0.7745749316103652,0.7851714968526584
cifar10,resnet18,noise,1e-05,gradcam_vs_gradcampp,0.840625,0.840625,-6.779683822732974e-05,,,,,,,,,,0.0023412273154876564,,-0.015602359424093984,,,,,640,,,,
cifar10,resnet18,noise,0.0001,gradcam,0.840625,0.840625,0.9996856394730862,0.9955971265756542,1.5774448983657045e-05,0.9968260555021473,0.9968521035306027,0.9954224726134682,0.9955971265756542,0.9954634142529771,0.9993722454184829,0.9999120379510623,1.041532482515216e-52,0.02135273429992903,0.09120693720039766,0.9905527034245979,0.9991232669207201,1.6250684194922278e-10,0.07759491507316915,640,0.9186738798673652,0.25,0.8280748755806032,0.8272096747638957
cifar10,resnet18,noise,0.0001,gradcampp,0.840625,0.840625,0.9996696185181468,0.9982629764379614,4.647670938259484e-05,0.999840801202734,0.9999462348519337,0.9991641083129466,0.9982629764379614,0.9982948927545916,0.999166682755489,0.9999515071497077,1.6750134587502783e-33,0.15383042783664427,0.056439784546697576,0.9963295306378472,0.9994772530269792,3.5220091535111047e-09,0.08094001315984573,640,0.9510547342141699,0.25,0.8097197874369985,0.8147483574456778
cifar10,resnet18,noise,0.0001,gradcam_vs_gradcampp,0.840625,0.840625,-1.6020954939355292e-05,,,,,,,,,,4.35521967826244e-06,,-0.003275769651570578,,,,,640,,,,
