dataset,model,drift_type,intensity,xai_method,clean_acc,drifted_acc,SSIM,IoU,MSE,Pearson,Cosine,IoU@0.3,IoU@0.5,IoU@0.7,SSIM_ci_low,SSIM_ci_high,SSIM_wilcoxon_p,SSIM_paired_t_p,SSIM_cohens_d,IoU_ci_low,IoU_ci_high,IoU_wilcoxon_p,IoU_cohens_d,n_images,KS_p,AD_p,Welch_p,Wilcoxon_p
cifar10,shufflenet_v2,noise,0.0,gradcam,0.79375,0.79375,1.0,0.953125,0.0,0.953125,0.953125,0.953125,0.953125,0.953125,1.0,1.0,1.0,1.0,0.0,0.9375,0.96875,4.320463057827488e-08,0.2215930585703383,640,1.0,0.25,1.0,1.0
cifar10,shufflenet_v2,noise,0.0,gradcampp,0.79375,0.79375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,640,1.0,0.25,1.0,1.0
cifar10,shufflenet_v2,noise,0.0,gradcam_vs_gradcampp,0.79375,0.79375,0.0,,,,,,,,,,1.0,,0.0,,,,,640,,,,
cifar10,shufflenet_v2,noise,1e-06,gradcam,0.79375,0.79375,0.999555261118321,0.9511515180426432,1.0716831358903506e-05,0.9530950029358788,0.9531110186177738,0.951887909765885,0.9511515180426432,0.9505138663310412,0.9991648360500464,0.9998136137354741,1.7200008461966836e-34,0.012544978437197627,0.09896009521338484,0.9347001468699624,0.9669871423040509,1.1342493131835193e-21,0.2311604161835716,640,0.9387619012594073,0.25,0.9622723548486656,0.9676640961167629
cifar10,shufflenet_v2,noise,1e-06,gradcampp,0.79375,0.79375,0.9998833553344783,0.9991873447417425,5.606716922061039e-06,0.9999831844995271,0.9999942813244072,0.9992872944958092,0.9991873447417425,0.9979512834394317,0.9997948467165003,0.9999480148192257,3.408881062959725e-26,0.0033918107943569785,0.11624622139165855,0.9987825422410564,0.9995046835060843,2.4625962840678287e-14,0.1678496974536654,640,0.9989240177503491,0.25,0.9836469469300821,0.9817886929317116
cifar10,shufflenet_v2,noise,1e-06,gradcam_vs_gradcampp,0.79375,0.79375,0.00032809421615720424,,,,,,,,,,1.8946220335659328e-06,,0.07199241394043063,,,,,640,,,,
cifar10,shufflenet_v2,noise,1e-05,gradcam,0.79375,0.79375,0.9993757714330046,0.9498291414826685,1.8673183023593235e-05,0.9530680484437278,0.9530982148803968,0.951019150805638,0.9498291414826685,0.9494830309457832,0.9989196903066081,0.9997222145525296,2.2934341790039674e-61,0.003994750805181412,0.11420049348509813,0.9334126511982305,0.9655426145417924,6.915783647638089e-28,0.23732685822734972,640,0.9483084179587247,0.25,0.8223283875594543,0.8029377730660261
cifar10,shufflenet_v2,noise,1e-05,gradcampp,0.79375,0.79375,0.9997985478241229,0.9982822043457436,9.025199823290846e-06,0.9999710131815771,0.9999896965999391,0.9989040815189767,0.9982822043457436,0.9977094346342572,0.9996735188993694,0.9999056142753303,6.883584652267646e-54,0.0009251474604565524,0.13154811690683071,0.9976138343101516,0.9988513410588131,1.867869095903482e-19,0.2124742954456371,640,0.9922380927912551,0.25,0.9975197571103883,0.9988737643366136
cifar10,shufflenet_v2,noise,1e-05,gradcam_vs_gradcampp,0.79375,0.79375,0.000422776391118318,,,,,,,,,,5.355865968398928e-10,,0.08224447222914413,,,,,640,,,,
cifar10,shufflenet_v2,noise,0.0001,gradcam,0.79375,0.79375,0.9986340266227041,0.947993666868841,5.745921565888728e-05,0.9529783465382167,0.9530501522596875,0.9484414370983284,0.947993666868841,0.9466228908764135,0.9979427092741696,0.9992041742909151,3.105303582803127e-85,2.3646067199228275e-05,0.16834239581163574,0.931693674180425,0.9638363895013022,3.682163874226375e-40,0.2463587698489072,640,0.6526653642593605,0.25,0.6738574154910915,0.7429890713318946
cifar10,shufflenet_v2,noise,0.0001,gradcampp,0.79375,0.79375,0.9988331823094081,0.9966946720597502,5.5248131213258897e-05,0.9998448537493525,0.9999142672622625,0.9964002042091341,0.9966946720597502,0.9947317949928507,0.998041096764783,0.9994319041376397,8.00696680980795e-90,0.001691634880047554,0.12463384423652919,0.995764641963999,0.9975239091323757,1.2391592657626081e-30,0.2866304190075713,640,0.8361023799737406,0.25,0.9138652357375752,0.9230949011546812
cifar10,shufflenet_v2,noise,0.0001,gradcam_vs_gradcampp,0.79375,0.79375,0.00019915568670403339,,,,,,,,,,1.3840402115584575e-09,,0.017427712020850094,,,,,640,,,,
cifar10,shufflenet_v2,noise,0.001,gradcam,0.79375,0.7921875,0.9865824459847528,0.92802539973546,0.0022440886962009168,0.9443464668577246,0.9474603849861569,0.9336071897635444,0.92802539973546,0.9233677480308746,0.9796001159603837,0.9923399014597022,8.992406656459254e-100,6.972366674000084e-05,0.1582542204426847,0.9105898309404817,0.9449447304533322,1.1939960271112126e-74,0.3225237220979208,640,0.15510958344675885,0.25,0.7250394798920385,0.6580703595718597
