dataset,model,drift_type,intensity,xai_method,clean_acc,drifted_acc,SSIM,IoU,MSE,Pearson,Cosine,IoU@0.3,IoU@0.5,IoU@0.7,SSIM_ci_low,SSIM_ci_high,SSIM_wilcoxon_p,SSIM_paired_t_p,SSIM_cohens_d,IoU_ci_low,IoU_ci_high,IoU_wilcoxon_p,IoU_cohens_d,n_images,KS_p,AD_p,Welch_p,Wilcoxon_p
tiny_imagenet,resnet18,noise,0.0,gradcam,0.4015625,0.4015625,1.0,0.9984375,0.0,0.9984375,0.9984375,0.9984375,0.9984375,0.9984375,1.0,1.0,1.0,1.0,0.0,0.9953125,1.0,0.31731050786291415,0.03952847075210474,640,1.0,0.25,1.0,1.0
tiny_imagenet,resnet18,noise,0.0,gradcampp,0.4015625,0.4015625,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,640,1.0,0.25,1.0,1.0
tiny_imagenet,resnet18,noise,0.0,gradcam_vs_gradcampp,0.4015625,0.4015625,0.0,,,,,,,,,,1.0,,0.0,,,,,640,,,,
tiny_imagenet,resnet18,noise,1e-06,gradcam,0.4015625,0.4015625,0.9997938708042728,0.99513434386635,5.924486815684477e-06,0.9984062156451671,0.9984237632426456,0.9961698491512874,0.99513434386635,0.9936142099631666,0.99970205806401,0.9998663042099758,5.313081527811971e-85,7.450247572656046e-07,0.19760446798641798,0.9914751782125507,0.9973326311014494,6.094960336059588e-42,0.11899263645018267,640,0.9991879740735242,0.25,0.7139444797916998,0.7474279232361647
tiny_imagenet,resnet18,noise,1e-06,gradcampp,0.4015625,0.4015625,0.9999767400666808,0.9983399754112263,1.217507154138947e-06,0.9999919855644634,0.9999977971692953,0.9990043396438593,0.9983399754112263,0.9977474885045041,0.9999614954287726,0.9999867910704668,1.929340137831401e-52,0.0004997897814444083,0.13830278807812008,0.9979390269843464,0.9987068213868281,6.612773355521696e-44,0.3410655640953426,640,0.9999962711352424,0.25,0.8668710528475078,0.8596103061878428
tiny_imagenet,resnet18,noise,1e-06,gradcam_vs_gradcampp,0.4015625,0.4015625,0.00018286926240795864,,,,,,,,,,1.266867176322161e-50,,0.18315579000195642,,,,,640,,,,
tiny_imagenet,resnet18,noise,1e-05,gradcam,0.4015625,0.4015625,0.9988197711238097,0.9933063508027054,7.199629140265871e-05,0.9979729886689771,0.9982245198555042,0.9949769758887363,0.9933063508027054,0.9912303551497015,0.9968895504634452,0.999816012206865,5.0826524678675054e-95,0.2072871084135344,0.04989835522230729,0.9888466396376855,0.996496717608644,5.3569737801841534e-48,0.13139173079703553,640,0.847389269936202,0.25,0.4853044901463971,0.5412059469858641
tiny_imagenet,resnet18,noise,1e-05,gradcampp,0.4015625,0.4015625,0.9994334137329804,0.9976434512086778,1.9305188449834617e-05,0.9998465236442191,0.999949994234117,0.9987305726062476,0.9976434512086778,0.9967700188929605,0.9983354840703585,0.9999846444141942,1.591985630505235e-63,0.29710805574454613,0.041248243863207176,0.9964787276908683,0.9984090110167408,1.0469272202017728e-45,0.18680111900176388,640,0.9985858633197653,0.25,0.911092183598992,0.9465004444715123
tiny_imagenet,resnet18,noise,1e-05,gradcam_vs_gradcampp,0.4015625,0.4015625,0.0006136426091707392,,,,,,,,,,7.301570843413366e-61,,0.06167241386161634,,,,,640,,,,
tiny_imagenet,resnet18,noise,0.0001,gradcam,0.4015625,0.4015625,0.9995886090946746,0.992746115181711,1.2454237391976143e-05,0.998372793017084,0.9984067452435588,0.9945944870585528,0.992746115181711,0.9906662190181008,0.9994307748890564,0.9997175837493608,9.276721068075257e-105,2.991473224843747e-08,0.22181156334040802,0.9889403567541436,0.9952132301237127,6.45384328261297e-61,0.1702596524986198,640,0.9576300106194661,0.25,0.5704611850738159,0.6225675972479866
tiny_imagenet,resnet18,noise,0.0001,gradcampp,0.4015625,0.4015625,0.9999679902291057,0.996991542582947,2.377959646784715e-06,0.9999871177429169,0.99999686497849,0.9982937414962482,0.996991542582947,0.9967049029454035,0.9999589009156128,0.9999758248167487,4.062039862804883e-90,4.795326729011907e-13,0.29189555672145845,0.9964257803253865,0.9975060902527308,2.662885103047499e-58,0.4244181425263701,640,0.9996597098477922,0.25,0.7111320803599632,0.7253216057062424
tiny_imagenet,resnet18,noise,0.0001,gradcam_vs_gradcampp,0.4015625,0.4015625,0.00037938113443103383,,,,,,,,,,1.4403795282361967e-72,,0.21122725092247246,,,,,640,,,,
tiny_imagenet,resnet18,noise,0.001,gradcam,0.4015625,0.4015625,0.9977034706653033,0.9809037406794234,5.210535707206326e-05,0.9981174695324626,0.9982882335399743,0.9848572837401539,0.9809037406794234,0.9743122214663315,0.9970790525282235,0.9982480076625476,2.590885765557251e-106,5.6029683633502584e-14,0.3039519594436304,0.9768692548567082,0.9839546486510429,2.688149492426575e-99,0.41741763154576533,640,0.49014815575063553,0.25,0.29960255823440113,0.24794275066288263
tiny_imagenet,resnet18,noise,0.001,gradcampp,0.4015625,0.4015625,0.9998295398725265,0.9896139681157408,1.1982047504494053e-05,0.9999241236420353,0.9999821590543132,0.9946289405143489,0.9896139681157408,0.9885310871365147,0.9997945901566646,0.999858306666562,1.7709580491810596e-106,4.727154495374141e-25,0.426535967666686,0.9884419271948109,0.990662831654022,5.435704498913105e-98,0.7296172690715411,640,0.7267903698353455,0.25,0.9975315997590392,0.9413887854211143
tiny_imagenet,resnet18,noise,0.001,gradcam_vs_gradcampp,0.4015625,0.4015625,0.0021260692072232468,,,,,,,,,,4.757619946743785e-91,,0.2881272209480481,,,,,640,,,,
tiny_imagenet,resnet18,noise,0.01,gradcam,0.4015625,0.4,0.9607884161353077,0.9086623152368262,0.004078754951942365,0.9718583309965354,0.9852933123817248,0.9291825315662956,0.9086623152368262,0.8909150655890066,0.9496633048754215,0.9705456808980015,2.590885765557251e-106,9.285785201476307e-13,0.28810291350448614,0.8966946476942884,0.9195884739302562,1.6879868309208492e-105,0.6165310846872881,640,6.419567989124058e-20,0.001,2.7039241998658505e-06,6.084086510477758e-12
tiny_imagenet,resnet18,noise,0.01,gradcampp,0.4015625,0.4,0.9898171706591835,0.949585510834664,0.0011713891693254652,0.9916425095895605,0.9982043243303066,0.9708538260479946,0.949585510834664,0.9331707181025826,0.9851966937626593,0.9937185896528005,1.7709580491810596e-106,3.069223480145861e-06,0.18610127016197966,0.9431665900546353,0.9552257557801682,3.7549317331466756e-106,0.6252853691328424,640,2.112446686919183e-12,0.001,3.758554845799513e-15,2.534206748904111e-12
tiny_imagenet,resnet18,noise,0.01,gradcam_vs_gradcampp,0.4015625,0.4,0.029028754523875766,,,,,,,,,,9.143678708416536e-96,,0.327327705980509,,,,,640,,,,
tiny_imagenet,resnet18,noise,0.05,gradcam,0.4015625,0.403125,0.8126865199343527,0.7200322007286717,0.019629977370195208,0.8658164834410723,0.9370304637013694,0.7792152702589883,0.7200322007286717,0.6696505857018726,0.7933300742268512,0.831765989277278,1.7709580491810596e-106,4.0649587051877867e-66,0.765712631471119,0.7005203716238273,0.7387602416863233,1.7689711661888534e-106,1.1226476346287535,640,1.887826481241306e-180,0.001,1.21949208221002e-63,2.3889411498937184e-123
tiny_imagenet,resnet18,noise,0.05,gradcampp,0.4015625,0.403125,0.9407256034921752,0.8256082283369797,0.006157557628591803,0.9551293692856759,0.9904350676408944,0.8977904445825153,0.8256082283369797,0.769299036669606,0.9328383991792778,0.9487755991965562,1.7709580491810596e-106,2.095582792678563e-42,0.5815152018398929,0.8135974275369704,0.8378573129557245,1.7709556159034997e-106,1.122807344533795,640,1.4351018112978756e-08,0.001,2.1216072343957578e-05,0.00021072107014649148
tiny_imagenet,resnet18,noise,0.05,gradcam_vs_gradcampp,0.4015625,0.403125,0.12803908355782245,,,,,,,,,,3.942243925995789e-98,,0.7832692306819007,,,,,640,,,,
tiny_imagenet,resnet18,noise,0.1,gradcam,0.4015625,0.3765625,0.5992064660129035,0.5215059317463036,0.05078544864622927,0.661656590943226,0.8449404666296643,0.6176657587800138,0.5215059317463036,0.44658346611953875,0.5749293479869053,0.622105665904395,1.7709580491810596e-106,2.1503270631512414e-141,1.313603803995022,0.4983267804588432,0.5439236478739564,1.7452043753974293e-106,1.642958966450395,640,0.0,0.001,9.13119887903458e-276,0.0
tiny_imagenet,resnet18,noise,0.1,gradcampp,0.4015625,0.3765625,0.8462958767975008,0.6992096530987819,0.016197031551496367,0.8736047327897939,0.9736925279275894,0.8173143284409774,0.6992096530987819,0.6116363259761283,0.8342440903884071,0.8575834724560195,1.7709580491810596e-106,6.0306007679505085e-105,1.0473368651483719,0.6833717718088154,0.7141465066507896,1.7709580491810596e-106,1.5898791615886863,640,4.87898151307659e-103,0.001,3.3369719743268946e-66,2.9011744225237406e-68
tiny_imagenet,resnet18,noise,0.1,gradcam_vs_gradcampp,0.4015625,0.3765625,0.24708941078459734,,,,,,,,,,1.5671647512461357e-103,,1.2002249073788724,,,,,640,,,,
tiny_imagenet,resnet18,noise,0.2,gradcam,0.4015625,0.1921875,0.3395598726314065,0.31684290761009865,0.0988022449381333,0.3497683932546302,0.7185122804463365,0.44073324947282977,0.31684290761009865,0.2198878973988337,0.3180653250054954,0.36300686219642,1.7709580491810596e-106,6.667766884248844e-262,2.343229055836681,0.29716650699346003,0.33736186030373777,1.663012075877033e-106,2.7174539291117252,640,0.0,0.001,0.0,0.0
tiny_imagenet,resnet18,noise,0.2,gradcampp,0.4015625,0.1921875,0.6825196487467887,0.5249809934338423,0.037533284459323114,0.6905848577079079,0.9367839720698056,0.719340118001293,0.5249809934338423,0.406886054352299,0.6685957435881731,0.6968221804663907,1.7709580491810596e-106,1.319807172137595e-200,1.7816242696406788,0.5106986411894234,0.5408323366323089,1.7709580491810596e-106,2.4318481897039033,640,0.0,0.001,0.0,0.0
tiny_imagenet,resnet18,noise,0.2,gradcam_vs_gradcampp,0.4015625,0.1921875,0.3429597761153822,,,,,,,,,,6.777337724882298e-104,,1.7043499733528633,,,,,640,,,,
tiny_imagenet,resnet18,noise,0.3,gradcam,0.4015625,0.084375,0.2313477500466456,0.22819627778050525,0.12622906655251426,0.18568309716691164,0.6566714623919123,0.369646941132724,0.22819627778050525,0.1426238455772248,0.214763228392168,0.24823395462661002,1.7709580491810596e-106,0.0,3.410934787188155,0.2133185595632433,0.24315854929524805,1.595117839724281e-106,3.782382392294277,640,0.0,0.001,0.0,0.0
tiny_imagenet,resnet18,noise,0.3,gradcampp,0.4015625,0.084375,0.5558172644600889,0.42432993600660424,0.058008621512817625,0.5145815709691854,0.9005620501936541,0.65582068971783,0.42432993600660424,0.28320250291693244,0.5409234545202973,0.5704613376036384,1.7709580491810596e-106,5.840880986861257e-258,2.3041251278351096,0.40912582793607827,0.4403523699948423,1.770948316090729e-106,2.8835758472100443,640,0.0,0.001,0.0,0.0
tiny_imagenet,resnet18,noise,0.3,gradcam_vs_gradcampp,0.4015625,0.084375,0.32446951441344335,,,,,,,,,,1.244347884673694e-104,,1.780995571436678,,,,,640,,,,
tiny_imagenet,resnet18,noise,0.4,gradcam,0.4015625,0.0203125,0.18168553747591093,0.19624813111440567,0.13836503936145164,0.11658868149217852,0.6358214622658307,0.34425355562105314,0.19624813111440567,0.10292338715185109,0.16836936166322392,0.19633772278315562,1.7709580491810596e-106,0.0,4.3779995386599735,0.18329598830221197,0.21018229753815695,1.601546873672469e-106,4.6293177058921415,640,0.0,0.001,0.0,0.0
tiny_imagenet,resnet18,noise,0.4,gradcampp,0.4015625,0.0203125,0.46883650706765795,0.3683797572963524,0.07184429935750813,0.38673384340795264,0.8732073117248997,0.617887620028261,0.3683797572963524,0.21624944847353594,0.454198267783985,0.4829067206351139,1.7709580491810596e-106,5.412056504675593e-307,2.825193406019334,0.35450747926972637,0.3832865705682037,1.770870453277314e-106,3.3143630135684363,640,0.0,0.001,0.0,0.0
tiny_imagenet,resnet18,noise,0.4,gradcam_vs_gradcampp,0.4015625,0.0203125,0.287150969591747,,,,,,,,,,1.0189583044305733e-98,,1.4881877097013774,,,,,640,,,,
tiny_imagenet,resnet18,noise,0.5,gradcam,0.4015625,0.009375,0.18890136561191323,0.19849366650964226,0.14434727993284469,0.11318454168657603,0.6513498520853125,0.36433609254865046,0.19849366650964226,0.09980561494141556,0.17505855693240352,0.20191490940676426,1.7709580491810596e-106,0.0,4.806078073470275,0.18604781323868624,0.21109237243427278,1.65308309380641e-106,4.93028384078606,640,0.0,0.001,0.0,0.0
