dataset,model,drift_type,intensity,xai_method,clean_acc,drifted_acc,SSIM,IoU,MSE,Pearson,Cosine,IoU@0.3,IoU@0.5,IoU@0.7,SSIM_ci_low,SSIM_ci_high,SSIM_wilcoxon_p,SSIM_paired_t_p,SSIM_cohens_d,IoU_ci_low,IoU_ci_high,IoU_wilcoxon_p,IoU_cohens_d,n_images,KS_p,AD_p,Welch_p,Wilcoxon_p
tiny_imagenet,shufflenet_v2,noise,0.0,gradcam,0.5375,0.5375,1.0,0.95625,0.0,0.95625,0.95625,0.95625,0.95625,0.95625,1.0,1.0,1.0,1.0,0.0,0.9390625,0.971875,1.2131545083660686e-07,0.21372914414937313,640,1.0,0.25,1.0,1.0
tiny_imagenet,shufflenet_v2,noise,0.0,gradcampp,0.5375,0.5375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,640,1.0,0.25,1.0,1.0
tiny_imagenet,shufflenet_v2,noise,0.0,gradcam_vs_gradcampp,0.5375,0.5375,0.0,,,,,,,,,,1.0,,0.0,,,,,640,,,,
tiny_imagenet,shufflenet_v2,noise,1e-06,gradcam,0.5375,0.5375,0.9985051201440631,0.9505782918736936,5.968919607863804e-05,0.954621110873221,0.9546386383444249,0.9510912763220183,0.9505782918736936,0.9487242310632595,0.9969561085002214,0.9994893463491904,1.8186333804733583e-58,0.018611834773735614,0.09325751973827436,0.9334879624539186,0.9660536215212517,4.025459570176331e-42,0.23800045219279747,640,0.7783565307997551,0.25,0.5108883013447278,0.703949255986204
tiny_imagenet,shufflenet_v2,noise,1e-06,gradcampp,0.5375,0.5375,0.9999784795056605,0.9976674683914439,1.4482428561088067e-06,0.9999907276594463,0.9999979407638524,0.9985149815624197,0.9976674683914439,0.9971094973088345,0.9999730075635499,0.9999830554079405,4.1674831278406125e-68,3.4028709582181645e-17,0.34292724458394874,0.9970125861228157,0.9981873155563702,2.986758406522914e-43,0.3125680929622118,640,0.999984646579155,0.25,0.9418035271717535,0.9673586728320269
tiny_imagenet,shufflenet_v2,noise,1e-06,gradcam_vs_gradcampp,0.5375,0.5375,0.001473359361597426,,,,,,,,,,1.933335442926016e-31,,0.09195946158764334,,,,,640,,,,
tiny_imagenet,shufflenet_v2,noise,1e-05,gradcam,0.5375,0.5375,0.9978766079704868,0.9472905910297797,0.00012032526719643304,0.9539937986672765,0.9541221571999582,0.9479933978149904,0.9472905910297797,0.9445799016819605,0.9963708370136819,0.9989632287142792,1.3922550453287224e-83,0.001372896089881537,0.12706117431139244,0.9303995123823202,0.9627426138287961,9.432853831466451e-53,0.25302934956090783,640,0.49560645072290477,0.21194789857146484,0.45177248040092044,0.2422676547681759
tiny_imagenet,shufflenet_v2,noise,1e-05,gradcampp,0.5375,0.5375,0.9999617151244667,0.9969076947577473,2.356756116062028e-06,0.9999849437552617,0.999996413962619,0.9976366893798246,0.9969076947577473,0.994879667986776,0.999950209000546,0.9999705861371273,3.9619634882929115e-83,3.5293497201379634e-13,0.2936412665348798,0.9963485007038766,0.9974161881592518,3.880054008620925e-58,0.45417799927418245,640,0.9999436397444258,0.25,0.9491138261957213,0.9365537970099654
tiny_imagenet,shufflenet_v2,noise,1e-05,gradcam_vs_gradcampp,0.5375,0.5375,0.002085107153979915,,,,,,,,,,9.619434361572248e-48,,0.12484316950714086,,,,,640,,,,
tiny_imagenet,shufflenet_v2,noise,0.0001,gradcam,0.5375,0.5375,0.9960110753456078,0.941890782097291,0.00020893238924174555,0.9538548192144407,0.9540303935798153,0.9431121423007411,0.941890782097291,0.9388237718113714,0.994157133947981,0.9974877475975205,5.347812513311732e-99,1.3919057690609009e-06,0.19259890888884412,0.924603116684418,0.9576195313010638,4.0698103945411793e-76,0.2798656958024092,640,0.6227331330687136,0.25,0.7948640445918221,0.8316741998164563
